,name_en,desc_en,model_id,product_number,product_additional,product_number_source_type
57,Jishu Intelligent Cervical Massage,"The cervical spine massager combines four physiotherapy methods of low frequency electric therapy, magnetic therapy, thermal moxibustion, and pillow traction. It uses the principles of traditional Chinese medicine to form an efficient composite energy field, which can relax the muscles and activate the collaterals and help improve blood circulation in the neck.Relieve the stiffness and pain of neck muscles.",jieman.magic_touch.js78,,,
58,Mi Smart Ultra Electricity Saving Air Conditioner (1.5HP/Inverter/New China Energy Label Level 1),,xiaomi.aircondition.mt8,,,
59,Yeelight Bedside Lamp II,Dysis LE,yeelink.light.bslamp3,YLCT01YL,,manual
60,Viomi Smart Washer & Dryer Combo (8kg) WD8FB,Yunmi Internet Washing and Drying Machine (8kg exclusive version),viomi.washer.v10,,,
61,Temperature and humidity sensor,"Real-time sensing of indoor temperature and humidity, sensing linkage with home temperature control equipment, setting the best indoor temperature and humidity environment.",feibit.sensor_ht.fzb870,,,
62,Crown-22A,Small multi-link KV-22V1,viomi.aircondition.v21,,,
63,aricondition,,btiot.aircondition.air,,,
64,Xiaomi router AX6000,,xiaomi.router.ra72,,,
65,Cobos intelligent sweeping robot,,eco.vacuum.dk45,,,
66,Mi Portable Photo Printer,"This product is a pure Bluetooth device, using Zink printing technology, the phone is connected to the printer through Bluetooth and printing equipment, and the image will then output 2x3 "", photos.",hannto.printer.basil,,,
67,mini-stb,"Thinker mini has a mature universal infrared and radio frequency remote control compatible program, which supports the learning and control of set-top box remote control.App has a built-in set-top box cloud code library, which supports smart and fast matching, which is simple and convenient.",jilian.stb.ministb,,,
68,Smart Curtain Motor,,666.curtain.gt01,,,
69,Gosund Smart Switch-Single Open,"Smart wall switch, one open",cuco.switch.cs1,,,
70,A-OK Curtain Controller,,666.curtain.em75,,,
71,Viomi Smart Water Purifier Fast3 (400G W),MIoT-Spec protocol access,yunmi.waterpuri.f1,,,
72,Guangzhou Zhunde,"Control the light on and off, adjust the brightness, adjust the color, adjust the color temperature.",zdzn.light.zun222,,,
73,Philips Zhirui Ceiling Lamp Living room 80W,Philips Zhirui living room ceiling lamp,philips.light.lrceiling,,,
74,Scene mesh color temperature lamp TM series,Xiaomi Tmall two-in-one dual-color light,lemesh.light.wy0c07,,,
75,Hood,The first generation large screen hood N909i,lxk.hood.yj,,,
76,Smart wall switch D1 (zero fire wire three-button version),,lumi.switch.b3nacn02,,,
77,Remote control master-wifi to infrared-air conditioner,Remote control master-wifi to infrared-air conditioner,coolki.aircondition.yk7,,,
78,Xiaoyan switch module,,terncy.switch.tsm01,,,
79,Mijia Philips Desk Lamp 2S,Second generation table lamp S,philips.light.sread2,,,
80,Smart casement curtain motor,Smart casement curtain motor (in use),arnoo.curtain.awcc12,,,
81,Downlight (adjustable temperature),,lumi.light.cwjwcn02,JWDL001A,,manual
82,switch,Single,fine.switch.switch,,,
83,Lijiujia treadmill,Lijiujia treadmill,asp.treadmill.a9,,,
84,Distributed Power 2.0,,h2t.plug.2,,,
85,Cloud switch,,xbyk.switch.xh01s,,,
86,G27_smart switch_one open,,bull.switch.s112,,,
87,Hope Music with dual source,,hope.wifispeaker.pad3s,,,
88,Xiaomi router,,xiaomi.router.old15,,,
89,Light control board,,ufun.light.board,,,
90,Dimming panel,DIMMER_SWITCH_MCU+SoC,yaguan.light.dimmer,,,
91,Gosund Smart Switch-Double Open,"Smart wall switch, two open",cuco.switch.cs2,,,
92,Cobos intelligent sweeping robot,"Intelligent sweeping robot, integrated sweeping and mopping",eco.vacuum.t8mop,,,
93,Viomi Internet refrigerator iLive (French style 462L),Yunmi Smart Refrigerator French iLive Voice Version,viomi.fridge.v3,BCD-462WMBA,Xiaomi Viomi Smart Refrigerator ilive Voice Version 462L (BCD-462WMBA),manual
94,Smartmi inventer air conditioner 2 (Engergy Level 1),Zhimi Inverter Air Conditioner 2 (1.5HP Class 1 energy efficiency),zhimi.aircondition.za1,,,
95,Sumi B1 Bluetooth mesh switch (three key),,090615.switch.smb1s3,,,
96,Three button switch,Three-button wall smart switch,lxk.switch.sanjkg,,,
97,Infrared socket,,wanye.plug.zcz005,,,
98,VIOMI Smart Instant Heating Water Dispenser 1A (4L Ver.),"Instant drinking water bar, segmented power heating",yunmi.kettle.r3,,,
99,Guangzhou Zhunde Air Conditioner,Control the temperature and setting mode of the air conditioner,zdzn.aircondition.66764,,,
100,Fruit wheat fresh fan 520,,gmair.airfresh.gm520,,,
101,Gosund Socket,16A socket with power meter,cuco.plug.cp2,,,
102,Viomi smart water purifier SE (400G),Yunmi Internet Water Purifier S2 (400G),yunmi.waterpuri.s3,,,
103,Smart eye protection lamp,"""Jieke AI"" is a global intelligent platform that supports multiple intelligent devices such as lights, switches, sockets, and air conditioners.Connect ""Jieke AI"" smart devices to start smart life",giec.light.sl1501,,,
104,Philips Smart Lamp,Philips Smart Lamp,philips.light.mono1,,,
105,Yeelight HaoShi LED Ceiling Lamp Pro,Nox Pro ESP32 version,yeelink.light.ceiling9,,,
106,Smart Gateway (Night Light),,sykj.light.040016,,,
107,outletGsm83,GSM three-channel socket (new protocol),coolki.plug.uiid83,,,
108,Air conditioning plug,,btiot.aircondition.air2,,,
109,light,,wfiot.light.default,,,
110,Shengxin Intelligent lamp,DBS non-isolated two-color,lsds.light.wy0a01,,,
111,MLS LED Smart Ceiling Lamp1,,mls.light.mls001,,,
112,Xiaomi AIoT router AX3600,,xiaomi.router.r3600,AX3600,,manual
113,IMILAB C40,Xiaobai Smart Camera A2,chuangmi.camera.021e02,,,
114,XunBot,"1. Lovely and technological sense
2. High-definition IPS eye protection large screen
3. Massive authorized content, healthy and fun, entertaining and entertaining
4. Family KTV, massive songs, stereo sound effects, dual microphones let the whole family sing together.
5. Selfie, record karaoke video/photo upload and share with one click, show yourself.
6. The app store will help you recommend the most suitable apps for children's respective age groups.
7. Voice interaction increases unlimited fun.
8. Fun selfie with camera",xiaoxun.robot.v1,,,
115,Mi Smart Baseboard Heater 1S,,leshow.heater.bs1s,Lexiu HS1,,manual
116,70mai Smart Driving Mate,"The 70mai light car machine is a vehicle-mounted network device that can be directly installed in the upper row area of the vehicle center console.The light car machine has application functions such as voice, navigation, online music, online radio, ADAS, and driving record.Compared with Mijia rearview mirror, added Xiaoai skills, active service, news push, startup greetings and other functions that favor user services",midr.rv_mirror.m5,,,
117,PTC10,,poer19.airrtc.ptc10,,,
118,yeedi-k802,,yeedi.vacuum.k802,,,
119,Shaking ceiling light,C1 panning ceiling light,ldsn.light.ygxd01,,,
120,Lanyou clothes-horse,,beihao.airer.bd,,,
121,Viomi Washer&Dryer Neo (10kg DD),MIoT-Spec protocol access,viomi.washer.v19,,,
122,Mi Wi-Fi Range Extender Pro,Xiaomi WiFi Amplifier Pro,xiaomi.repeater.v3,,,
123,Milano 1.5P,"erp code: 50.01.01.01.0027
69 yards: 6923185612247
Product model: KFRd-35GW/Y3PD1-A1",viomi.aircondition.y10,KFRd-35GW/Y3PD1-A1,,auto
124,IMILAB EC2 Wireless Camera Gateway,Used to mount low-power cameras,chuangmi.gateway.ipc011,,,
125,Jya Smart Cordless LED Desk Lamp,LED smart table lamp,jya.light.sla1,,,
126,Navi 1P,"erp code: 50.01.01.01.0147
69 yards: 6923185617365
Product model: KFRd-26GW/Y2PD3-A1",viomi.aircondition.y55,KFRd-26GW/Y2PD3-A1,,auto
127,Mi Robot Vacuum-Mop Essential,"Inertial navigation, domestic version",mijia.vacuum.v1,MJSTG1,,manual
128,Crown-28A,Small multi-link KV-28V1,viomi.aircondition.v22,KV-28V1,,auto
129,Curtain motor,Curtain motor,kuju.curtain.6,,,
130,Water heater D1301i,,hzft.waterheater.d1301i,,,
131,Justree Smart Lock Kx,"A smart door lock with Bluetooth, fingerprint, password and mechanical key unlocking capabilities, hidden fingerprints, open the door in one step!",shjszn.lock.kx,,,
132,Smart curtain,,thing.curtain.smart1,,,
133,Mi Smart Air Conditioner Energy Saving (Sleep Optimization 1HP),,xiaomi.aircondition.c15,,,
134,Mi Dash Cam 1S,"Use the mobile app to view playback of driving footage, view moments, and set up the dash cam.",midr.cardvr.v2,,,
135,Rokid Pebble,"An artificial intelligence robot based on voice interaction, hope to be a good companion in your family and life.",rokid.robot.pebble2,,,
136,Wall touch switch 2,,lxk.switch.kg2,,,
137,Yeelight Ceiling Light,"Halo atmosphere 450
50W non-isolated power supply, medium size, with backlight, atmosphere series of bedroom lights",yeelink.light.ceiling20,YLXD50YL,Yeelight Arwen Ceiling Light 470A,manual
138,Fruit wheat fresh wind 320Pro,,gmair.airfresh.gm320p,,,
139,2-Button Neutral Wire Switch,Zero fire wire touch switch Double open zero fire switch 2 2,uiot.switch.switch5,,,
140,webcam,Fluorite camera,cgzn.camera.camera,,,
141,webcam,webcam,xzh.camera.camera,,,
142,Carberry Face Recognition Safe,"Cartier face recognizes the safe, the infrared face recognizes the full dark environment can easily unlock, touch the LCD screen, easy to operate, face recognition / fingerprint unlocking / password unlock / remote alarm, the spirit arc box is in one, guardianYour treasure.",lcrmcr.safe.ms80b,,,
143,TV infrared remote control,,ghome.tv.sf005,,,
144,Mi Wi-Fi Repeater,Xiaomi WiFi Amplifier,xiaomi.repeater.v1,,,
145,PTX Twokey switch (wifi),"Two-button mechanical key switch, Mijia APP control, Xiaoai classmate control, 2.4G LAN auxiliary control, free paste auxiliary control function!",090615.switch.xswitch02,,,
146,ILIFE Robot,"ILIFE Tianyao X900 adopts classic vinyl record shape and ultra-thin body design. It is equipped with PanoView panoramic visual navigation technology and the third-generation CyclonePower cleaning system. Through real-time precise positioning and navigation, it can carry out planned deep cleaning of the whole house.Missed scanning does not re-scan, and can flexibly avoid areas that do not need to be cleaned with the help of the ElectroWall function.Tianyao X900 is a sweeping and mopping two-in-one model, which has a strong performance in wet mopping.Its patented vibrating water tank technology can imitate the principle of manual wiping, and can deeply clean the stubborn dirt on the ground. It is a good hand for sweeping and mopping the floor.",ilife.vacuum.x900,,,
147,Yeelight Smart Ceiling Fan,AC version,yeelink.light.fancl1,,,
148,Mi Motion-Activated Night Light 2 (Bluetooth),Mijia Night Light 2,yeelink.light.nl1,MJYD02YL-A,,manual
149,Viomi Smart Gas Water Heater Mate 13L,MIOT-SPEC,viomi.waterheater.u31,,,
150,Wall socket,,nvcls.switch.010001,,,
151,Mi Smart AirerPRO,Mi Smart·Electric Clothes Dryer PRO,kejia.airer.mznpro,,,
152,Xun Kids Smartwatch F1,Xiaoxun Children's Phone Watch F1,xiaoxun.watch.v8,,,
153,Xiaowo boiler,Xiaowo boiler,iwarm.waterheater.l1p24,,,
154,Crackle smart light band (mesh),Crackling Smart Light Strip,090615.light.pipadd,,,
155,Smart 1X 2P,"erp code: 50.01.01.02.0031
69 yards: 6923185615255
Product model: KFRd-51LW/Y3RE3-A1",viomi.aircondition.y59,KFRd-51LW/Y3RE3-A1,,auto
156,Yi Mei Home Smart Light,5 & 100 million US special version,ymj.light.wy0a02,,,
157,Fruit wheat new fan 420,,gmair.airfresh.gm420,,,
158,Washing machine,,yonsz.airer.0,,,
159,Smart socket,No certification trademark required,worth.plug.787076,,,
160,Viomi Smart Washer & Dryer Combo Neo (10kg OTA ),Yunmi Internet Washing and Drying Machine (10KG),viomi.washer.v8,,,
161,switch,1. Control switch,kongke.switch.light,,,
162,Outdoor 360 Webcam,,xiaovv.camera.ptz,,,
163,Viomi Washing Machine Neo (10kg),,viomi.washer.v14,,,
164,Alarm equipment,,dnake.alarm.def,,,
165,Blupeace Air Massage Mattress Topper,,bkrobo.bed.t1,,,
166,DanceLight I Series Ceiling Lamp,"Xiamen Topstar Co., Ltd. ceiling lamp project, using ESP-12S module, as a customer of Shenzhen Anxinke Technology Co., Ltd.",tsd.light.tp1,,,
167,Monochrome lamp,Monochrome lamp V2 version,scmkcz.light.crslv2,,,
168,Mi Smart Steam Oven,,chunmi.oven.steam30lv1,,,
169,curtain,General curtain equipment,dctrls.curtain.common,,,
170,LED driver,LED drive controller,aiicn.light.pwm2,,,
171,Smartmi Standing Fan 2,"Zhimi DC inverter floor fan, no remote control, dual buttons, no lithium battery",zhimi.fan.za3,,,
172,2-Button Mechanical Switch Controller Box,Mechanical switch Double-open mechanical switch control box 7 2,uiot.switch.switch12,,,
173,Thermostat,An air conditioner control panel with display that can control the central air conditioner.,lumi.airrtc.tcpecn01,,,
174,Mi Automatic Smart Door Lock,"Xiaomi automatic smart door lock T1, automatic lock body",loock.lock.t1,,,
175,Mi Projector 2 Pro,"M135JCN Pro,patchwall",fengmi.projector.m135jp,,,
176,Redmi AI Speaker Play,"No screen speaker, deformation of lx05",xiaomi.wifispeaker.l7a,,,
177,Aqara Curtain Controller B1,"The smart curtain motor (opening and closing curtain) that conforms to the Zigbee HA1.2 protocol can be powered by a power adapter or a lithium battery.Realize functions such as remote control, timed opening and closing of curtains, and intelligent linkage of multiple devices.",lumi.curtain.hagl04,ZNCLDJ12LM,,manual
178,Maid White Air Conditioner,An air conditioner that can be controlled by Maid White,tih.aircondition.a12345,,,
179,light,,future.light.light,,,
180,FOWAD thermostat controller,FOWAD central air conditioning thermostat,fawad.airrtc.fwd20011,,,
181,Moxibustion steam engine,,zdeer.ajh.zjy,,,
182,Smart scene panel switch S1 single version,,lumi.controller.n4acn2,,,
183,Viomi Internet hood Hurri standard,Internet Range Hood Hurri Standard Edition,viomi.hood.h1,,,
184,Mi Smart Kettle,,yunmi.kettle.v1,,,
185,One Intelligent switch (WIFI),"A smart switch, APP smart control",090615.switch.switch01,,,
186,DGMB1,Light panel all the way to zero fire,linked.light.ft153,,,
187,Smart curtain motor,Smart curtain motor (abandoned),ldsn.curtain.awcc10,,,
188,Mi Smart Speaker Art II,,xiaomi.wifispeaker.l09b,,,
189,Viomi Voice Controlled Washer & Dryer,,viomi.washer.u5,,,
190,Infrared controller second generation (air conditioning),Infrared controller second generation (air conditioning),kuju02.aircondition.45,,,
191,inovel projector,"Split smart projection, with wireless charging function, CPU: AmlogicT968",inovel.projector.me2,,,
192,Smart thermostat,KD5P601C,ikecin.airrtc.84,,,
193,light,,jusval.light.1,,,
194,RGB light,Adjustable brightness,pair.light.2,,,
195,Youdian Smart Bluetooth Mesh Switch,Three open,ydhome.switch.s1,,,
196,Viomi Smart Top Loading Washing Machine (9KG),Yunmi Internet Washing Machine (9KG),viomi.washer.s1,,,
197,JIajueshi clothes-horse,,beihao.airer.l9xf,,,
198,gsm_switch_four,GSM four-channel switch,coolki.switch.uiid31,,,
199,16 relays module,Mijia control relay module,pwzn.relay.apple,,,
200,Curtain motor,,huazhu.curtain.v2,,,
201,Mi & Philips Ceiling Lamp Lamina 80W,Mijia Philips Living Room Ceiling Lamp Elegant Edition,philips.light.ceilp,,,
202,Mi Smart Humidifier,Realize three-speed variable power intelligent humidification function.,deerma.humidifier.mjjsq,MJJSQ03DY,,manual
203,Aqara Smart Dimming Module T1,,lumi.light.rgbac1,ZNTGMK11LM,RGBW LED Controller T1,manual
204,Drinking fountain,,creiot.ysj.wd01ei,,,
205,Gomanni G1 series ceiling lamp,Comanni G1 series ceiling lamp-Realtek8762,gmn.light.wy0a01,,,
206,Smart humidifier,Smart humidifier,arnoo.humidifier.aahz10,,,
207,Sweeping robot,,yuerzj.vacuum.rc01,,,
208,Aqara LED Light Bulb (Tunable White),"Aqara smart LED bulb (adjustable color temperature), connected to the gateway through zigbee, adjustable brightness and color temperature",lumi.light.aqcn02,ZNLDP12LM,,manual
209,NVC DieYing LED ceiling lamp,,leishi.light.esp114,,,
210,Smartmi Smart Convector Heater 1S,"Zhimi electric heater smart version upgrades heating materials, interactive changes",zhimi.heater.za2,,,
211,Mi Card Learning Robot,Mitu card learning machine,jiqid.mistudy.v2,,,
212,Viomi Smart Dish Washer (Build-in),Yunmi Internet Dishwasher (embedded),viomi.dishwasher.v03,,,
213,switchPower_Warning,Power detection socket,coolki.plug.uiid32,,,
214,Mi OLED TV 65 inch,,xiaomi.tv.oledh1,,,
215,Genwits Smart Curtain,,666.curtain.gt01m,,,
216,Air Conditioner Remote Control,Mijia air conditioner infrared remote control,miir.aircondition.ir01,,,
217,IMI Home Security Camera mini,Little white smart camera mini,chuangmi.camera.v4,,,
218,synIOT switch 1 key,1-position smart switch,syniot.switch.s1,,,
219,Mi Wireless Photo Printer 1S,"This product is based on Xiaomi Mijia photo printer, adding 3-inch photo support and wifi-direct hardware switch.",hannto.printer.honey1s,,,
220,viomi smart dishwasher 8 settings 0803B,MIOT_SPEC (ESP-WROOM-02D),viomi.dishwasher.v12,,,
221,NEW WIDETECH Internet Dehumidifier 12L,NWT Internet Dehumidifier 12L,nwt.derh.312en,WDH312ENW1,,manual
222,PTX two key intelligent switch (mesh),,090615.switch.mets2,,,
223,Water Purifier,Water purifier W06i,lxk.waterpuri.jsq,,,
224,Mi Home Security Camera 360 1080P,Mijia Smart Camera PTZ Version 1080P,chuangmi.camera.ipc019,MJSXJ05CM,,manual
225,HOPE Music Box Mini 3A,,hope.wifispeaker.mini3a,,,
226,TOKIT Smart Water Purifier 600G,,tokit.waterpuri.tkj1,,,
227,out,Control point socket on and off,zunder.switch.onoff,,,
228,Electric light,Lighting products,szlxz.light.v1,,,
229,Formovie Laser Projector 4K Cinema Pro,"Fengmi ultra-short throw laser projection 4K L176Pro, Fengos system",fengmi.projector.l176fp,,,
230,Youth version thermostat,,linked.aircondition.st8,,,
231,Viomi Smart Electric Water Heater C1 (50L),MIoT-Spec protocol access,viomi.waterheater.e16,,,
232,ZDEER Moxibustion Box 2th,,zdeer.ajh.a9,,,
233,Ruili Music Player,,future.wifispeaker.amp02,,,
234,Smart gateway,,hsmart.gateway.hs2sk,,,
235,Mi Router 4Q,,xiaomi.router.r4c,,,
236,curtain,curtain,xzh.curtain.curt,,,
237,television,Infrared TV supported by Aiyun Intelligent Scene Control A1.,ayzn.tv.irtv,,,
238,Chanitex Electric Water Heater CXE-60B1,,smith.waterheater.cxeb1,,,
239,socket,Universal socket,dctrls.plug.common,,,
240,fan,Fan equipment,ecloud.fan.eq,,,
241,Dual control module,,lumi.ctrl_dualchn.es1,,,
242,PTX intelligent heating and cooling lamp belt (mesh),Smart Cool and Warm Color Strip (Mesh),090615.light.demo2,,,
243,Piak intelligent three switch,"Meijiashun Electric Co., Ltd. smart switch, Xiaoai voice control, remote APP control.",090615.switch.piak03,,,
244,KingSmith Treadmill,Xiaojin Smart Folding Treadmill is a cost-effective and high-value treadmill developed for runners.,ksmb.treadmill.v1,,,
245,Mi Smart LED Ceiling Light (350mm),Cycle 350,yeelink.light.ceiling23,,,
246,Smart curtain,,szsy.curtain.050001,,,
247,Smart socket,,wanye.plug.zcz00,,,
248,Door & window sensor,Door and window sensor,lumi.sensor_magnet.v1,MCCGQ01LM (YTC4039GL),,manual
249,"Aqara Wall Switch (With Neutral, Single Rocker)",Aqara wall switch (zero fire wire one-touch version),lumi.ctrl_ln1.v1,,,
250,MLS LED Smart Ceiling Lamp3,,mls.light.mls003,,,
251,Smart socket,Smart socket,kuju02.plug.1,,,
252,Zhirui Ceiling Lamp Nordic 28W,Zhirui Ceiling Light Nordic Style Bedroom 28W,philips.light.mceils,,,
253,NVC Smart Bath-Heater,,leishi.bhf_light.yuba02,,,
254,Yeelight LED Lightstrip 1S,pitaya plus 1s,yeelink.light.stripa,,,
255,Dimming light,,p2c.light.dimmer,,,
256,MOMODA RT5870,Mid-range massage chair RT5870,rotai.massage.rt5870,,,
257,switch,,tyzhjt.switch.000001,,,
258,Linptech Smart Wall Switch (1 Key),,linp.switch.q31,,,
259,TV infrared remote control,,oge.tv.tv,,,
260,Mi Smart Power Plug 2 (Wi-Fi and Bluetooth Gateway),Mijia Smart Socket 2 Bluetooth Gateway Version,chuangmi.plug.212a01,ZNCZ07CM,,manual
261,Philips ZhiRui bedside lamp,Philips Zhi Rui bedside lamp,philips.light.moonlight,9290019202,,manual
262,MiWhole Air Purifier Mix,,hanyi.airpurifier.kj550,,,
263,Cobos intelligent sweeping robot,n8 level n8+white (WH) series,eco.vacuum.n8wh,,,
264,Smart 2P,"erp code: 50.01.01.02.0049
69 yards: 6923185617143
Product model: KFRd-51LW/Y4RE2-A3",viomi.aircondition.y57,KFRd-51LW/Y4RE2-A3,,auto
265,Vaillant Floor Heating,Vaillant Floor Heating,tc0756.heater.46,,,
266,Wall socket (gateway version),,lumi.plug.sgwacn01,,,
267,Qianzhongyi intelligent lamp,33302,qyds.light.wy0a01,,,
268,outlet77,Single channel socket (new multi-channel protocol),coolki.plug.uiid77,,,
269,Viomi Smart Gas Water Heater 12L,MIoT-Spec access,viomi.waterheater.u19,,,
270,plug_two,Dual channel socket,coolki.plug.two,,,
271,Mi Smart Dishwasher (4 Dining Sets),Mijia Internet Dishwasher 4 sets of countertops,viomi.dishwasher.m02,,,
272,synIOT switch 3 key,,syniot.switch.s3,,,
273,Lettin Essential Downlight,Lettin Smart Downlight,lettin.light.downlight,,,
274,Viomi Refrigerator 21FACE (SBS456L),Android SDK access,viomi.fridge.x25,,,
275,Deye dehumidifier,,deye.derh.z12a3,,,
276,Mi Network Speaker,"Xiaomi network speaker (audio), product of Xiaomi TV project group",xiaomi.wifispeaker.v1,,,
277,352 Air Detector M30,"M30 formaldehyde detector, can detect temperature, humidity, formaldehyde, TVOC",bj352.airmonitor.m30,,,
278,S20c Smart Socket,"WIFI smart socket, support voice control of Xiaoai audio.",orvibo.plug.s20c,,,
279,PTX one key intelligent switch (mesh),,090615.switch.mets1,,,
280,IKEA E27 white spectrum clear,IKEA Trufi E27 950lm 12W color temperature adjustable,ikea.light.led1546g12,LED1546G12,,manual
281,Mi Smart Air Conditioner C1 (1HP / Inverter / China Energy Label Level 1),Mijia Internet Air Conditioner C1 (Large 1HP/Inverter/Level 1 Energy Efficiency),xiaomi.aircondition.ma9,,,
282,Yeelight LED Light Sensor Desk Lamp V1,Vision/ Vision Pro,yeelink.light.lamp7,,,
283,Mi Smart Safe Box,Mijia's first safe deposit box,loock.safe.v1,,,
284,Shenyong switch socket,,szsy.plug.010002,,,
285,Hood,,hxrcj.hood.e5,,,
286,Sound control wizard lighting 2,"Control the light switch, brightness, color, color temperature, etc.",zunder.light.66744,,,
287,Mi Washer Dryer 1C 10kg,H-combo10kg,minij.washer.v14,,,
288,Piak intelligent one switch,"Meijiashun Electric Co., Ltd. smart switch, Xiaoai voice control, remote APP control.",090615.switch.piak01,,,
289,MZXlight,Control smart lights by voice,jksx.light.mzx01,,,
290,Mocie Mies 10 Pro- Drying Style,,micoe.airer.hz001h,,,
291,Wall switch single button,,xqh.switch.a20111,,,
292,Youdian Smart Lock M2,Fully automatic sliding lock,ydhome.lock.m2silver,,,
